filename,title,instructor,price,category,ce_hours,texas_approved,short_description
Addiction Counseling Fundamentals 8 hours CEU.docx,Addiction Counseling Fundamentals,TheraBrake Academy,199,Professional Development,8,true,Comprehensive 8-hour course covering fundamentals of addiction counseling and evidence-based treatment approaches
Advanced Ethics in Digital Age Counseling 4 hour CEU.docx,Advanced Ethics in Digital Age Counseling,TheraBrake Academy,149,Ethics & Legal,4,true,Navigate complex ethical challenges in modern digital counseling practice
Advanced Private Practice Management.docx,Advanced Private Practice Management,TheraBrake Academy,199,Business & Practice Management,6,true,Master advanced strategies for growing and managing a successful mental health practice
Art and Expressive Therapies Techniques.docx,Art and Expressive Therapies Techniques,TheraBrake Academy,149,Clinical Skills,4,true,Learn creative intervention techniques using art and expressive modalities
Building a Trauma Informed Practice and Telehealth.docx,Building a Trauma-Informed Practice & Telehealth,TheraBrake Academy,199,Professional Development,6,true,Comprehensive 6-hour CE course on trauma-informed telehealth practices
Business Ethics for Mental Health Professionals.docx,Business Ethics for Mental Health Professionals,TheraBrake Academy,149,Ethics & Legal,4,true,Essential ethical frameworks for running an ethical mental health business
Chronic Pain and Medical Psychology.docx,Chronic Pain and Medical Psychology,TheraBrake Academy,149,Clinical Skills,4,true,Understand the psychology of chronic pain and evidence-based treatment interventions
Clinical Supervision Skills for New Supervisors.docx,Clinical Supervision Skills for New Supervisors,TheraBrake Academy,199,Professional Development,6,true,Develop essential skills for effective clinical supervision and mentorship
Co_Occurring Disorders Mental Health and Substance Use 6 Hours CEU.docx,Co-Occurring Disorders: Mental Health and Substance Use,TheraBrake Academy,199,Clinical Skills,6,true,Comprehensive assessment and treatment of co-occurring mental health and substance use disorders
Complex PTSD and Developmental Trauma 8 Hour CEU.docx,Complex PTSD and Developmental Trauma,TheraBrake Academy,249,Clinical Skills,8,true,Advanced training in treating complex trauma and developmental PTSD
Crisis Intervention and De escalation Techniques.docx,Crisis Intervention and De-escalation Techniques,TheraBrake Academy,149,Clinical Skills,4,true,Master evidence-based crisis intervention and de-escalation strategies
Cultural Competency Specific Populations.docx,Cultural Competency for Specific Populations,TheraBrake Academy,149,Professional Development,4,true,Develop cultural competency skills for working with diverse client populations
Cultural Diversity in Texas Counseling Practice CEU.docx,Cultural Diversity in Texas Counseling Practice,TheraBrake Academy,149,Professional Development,4,true,Texas-specific training on cultural diversity and inclusive counseling practices
